"year","month","age","tw_g","species","temporada","temporada_inicio"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","3180","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","7120","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4140","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5530","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","6390","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5320","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4330","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","8040","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","7210","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","8200","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","12330","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","8530","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5150","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5560","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5610","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5680","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","12320","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","7800","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","6570","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5860","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","6200","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4500","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4500","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","14740","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5290","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","6370","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5790","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","12000","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","12720","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5780","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","7710","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","7200","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5160","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5120","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4810","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5400","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5440","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","4","16600","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5200","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","4880","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","5510","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4060","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4660","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","4","11480","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","5270","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","4860","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4970","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4080","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","4210","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5110","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4860","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","6260","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","6900","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","2","3200","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4120","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","3760","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4640","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","7290","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5270","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","6350","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","6360","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5260","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4260","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","6690","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5740","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","2","3190","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","2","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4900","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","6930","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","3480","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","6380","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","6850","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","4","10090","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","13160","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","2","4390","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","2570","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","7370","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","6330","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5620","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4660","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4740","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","2","3600","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","7000","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","6310","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","7460","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","2100","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","4","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","3","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","2","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","4","NA","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","6600","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","4810","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","10780","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","12010","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5500","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","5600","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","9000","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","6000","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","1","NA","7900","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","8800","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","3","5500","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","5900","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","3","6800","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","5600","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","3","8100","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","5100","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","4","13000","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","8100","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","10000","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","4","14500","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","3","6500","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","3","6500","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","4500","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","5000","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","3","8500","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","3","8500","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","3900","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","5000","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","2800","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","2800","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","5300","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","7300","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","2","2400","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","6700","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","5100","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","6300","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","3600","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","5200","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","3900","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","7000","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","3","6300","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","7000","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","4","12000","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","5000","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","3","7900","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","6000","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","7000","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","5000","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","6000","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","3","8100","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","NA","2800","Oncorhynchus tshawytscha","2014-2015","2014"
"2015","2","2","5000","Oncorhynchus tshawytscha","2014-2015","2014"
